"tech"	"callret-1"	"callret-2"	"callret-3"
"http://dbpedia.org/resource/Autognostics"	"Autognostics"	"Artificial intelligence"	"Autognostics is a new paradigm that describes the capacity for computer networks to be self-aware. It is considered as one of the major components of Autonomic Networking."
"http://dbpedia.org/resource/Perceptual_computing"	"Perceptual computing"	"Artificial intelligence"	"Perceptual computing is an application of Zadeh's theory of computing with words on the field of assisting people to make subjective judgments."
"http://dbpedia.org/resource/Competitions_and_prizes_in_artificial_intelligence"	"Competitions and prizes in artificial intelligence"	"Artificial intelligence"	"There are a number of competitions and prizes to promote research in artificial intelligence."
"http://dbpedia.org/resource/Artificial_psychology"	"Artificial psychology"	"Artificial intelligence"	"Artificial psychology is a theoretical discipline proposed by Dan Curtis (b. 1963). The theory considers the situation when an artificial intelligence approaches the level of complexity where the intelligence meets two conditions: Condition I 
*  A: Makes all of its decisions autonomously 
*  B: Is capable of making decisions based on information that is 1.  
*  New 2.  
*  Abstract 3.  
*  Incomplete 
*  C: The artificial intelligence is capable of reprogramming itself based on the new data 
*  D: And is capable of resolving its own programming conflicts, even in the presence of incomplete data. This means that the intelligence autonomously makes value-based decisions, referring to values that the intelligence has created for itself. Condition II 
*  All four criteria are met in situations that are not part of the original operating program When both conditions are met, then, according to this theory, the possibility exists that the intelligence will reach irrational conclusions based on real or created information. At this point, the criteria is met for intervention which will not necessarily be resolved by simple re-coding of processes due to extraordinarily complex nature of the codebase itself; but rather a discussion with the intelligence in a format which more closely resembles classical (human) psychology. If the intelligence cannot be reprogrammed by directly inputting new code, but requires the intelligence to reprogram itself through a process of analysis and decision based on information provided by a human, in order for it to overcome behavior which is inconsistent with the machines purpose or ability to function normally, then artificial psychology is by definition, what is required. The level of complexity that is required before these thresholds are met is currently a subject of extensive debate. The theory of artificial psychology does not address the specifics of what those levels may be, but only that the level is sufficiently complex that the intelligence cannot simply be recoded by a software developer, and therefore dysfunctionality must be addressed through the same processes that humans must go through to address their own dysfunctionalities. Along the same lines, artificial psychology does not address the question of whether or not the intelligence is conscious. As of 2015, the level of artificial intelligence does not approach any threshold where any of the theories or principles of artificial psychology can even be tested, and therefore, artificial psychology remains a largely theoretical discipline."
"http://dbpedia.org/resource/Knowledge_compilation"	"Knowledge compilation"	"Artificial intelligence"	"Knowledge compilation is a family of approaches for addressing the intractability ofa number of artificial intelligence problems. A propositional model is compiled in an off-line phase in order to support some queries in polytime. Many ways of compiling a propositional models exist.Among others: NNF, DNNF, d-DNNF, BDD, SDD, MDD, DNF and CNF. Different compiled representations have different properties.The three main properties are: 
*  The compactness of the representation 
*  The queries that are supported in polytime 
*  The transformations of the representations that can be performed in polytime"
"http://dbpedia.org/resource/Allen_(robot)"	"Allen (robot)"	"Artificial intelligence"	"Allen was a robot introduced by Rodney Brooks and his team in the late 1980s, and was their first robot based on subsumption architecture. It had sonar distance and odometry on board, and used an offboard lisp machine to simulate subsumption architecture. It resembled a footstool on wheels. Allen used three layers of control which are implemented in subsumption architecture. ""The lowest layer of control makes sure that the robot does not come into contact with other objects."" Due to this layer it could avoid static and dynamic obstacles, but it could not move. It sat in the middle of the room, waiting for obstruction. When the obstruction came, Allen ran away, avoiding collisions as it went. It used following internal representation, and every sonar return represented a repulsive force with, and inverse square drop off in strength. Direction of its move was obtained by sum of the repulsive forces (suitably thresholded). It possessed an additional reflex which halted it whenever it was moving forward, and something was directly in its path. ""The first level layer of control (second layer), when combined with zeroth, imbues the robot with the ability to wander around aimlessly without hitting obstacles."" Owing to the second layer, Allen could randomly wander about every 10 seconds. It used simple heuristic, which was coupled with the instinct to shun barriers by vector addition. ""The summed vector suppressed the more primitive obstacle avoidance vector, but the obstacle avoidance behaviour still operated, having been subsumed by the new layer, in its account of the lower level's repulsive force. Additionally, the halt reflex of the lower level operated autonomously and unchanged."" The third layer made the robot try to explore. Allen could look for distant places (with its sonars), then tried to reach them. ""This layer monitored progress through odometry, generating a desired heading which suppressed the direction desired by the wander layer. The desired heading was then fed into a vector addition with the instinctive obstacle avoidance layer. The physical robot did not therefore remain true to the desires of the upper layer. The upper layer had to watch what happened in the world, through odometry, in order to understand what was really happening in the lower control layers, and send down correction signals."""
"http://dbpedia.org/resource/Manifold_integration"	"Manifold integration"	"Artificial intelligence"	"Manifold integration is a combined concept of manifold learning and data integration, or an extension of manifold learning for multiple measurements. Various manifold learning methods have been developed. However, they consider only one dissimilarity matrix corresponding to one kernel matrix, which represents one manifold of the data set. In practice, however, multiple sensors are used at a time, and each sensor generates data set on one manifold. In such a case, manifold integration is a desirable task, combining these dissimilarity matrices into a compromise matrix that faithfully reflects multiple sensory information on one integrated manifold. For more information, see"
"http://dbpedia.org/resource/Computational_Heuristic_Intelligence"	"Computational Heuristic Intelligence"	"Artificial intelligence"	"Computational Heuristic Intelligence(CHI) is a name for describing specialized programming techniques in the field of Computational intelligence (also called Artificial Intelligence, or AI). These techniques have the express goal of avoiding complexity issues, also called NP-hard problems, by using human-like techniques. They are best summarized as the use of exemplar-based methods (Heuristics), rather than rule-based methods(Algorithms). Hence the term is distinct from the more conventional Computational Algorithmic Intelligence, or GOFAI. An example of a CHI technique is the Encoding specificity principle of Tulving and Thompson. In general, CHI principles are problem solving techniques used by people, rather than programmed into machines. It is by drawing attention to this key distinction that the use of this term is justified in a field already replete with confusing neologisms. Note that the legal systems of all modern human societies employ both heuristics (generalisations of cases) from individual trial records as well as legislated statutes (rules) as regulatory guides. Another recent approach to the avoidance of complexity issues is to employ feedback control rather than feedforward modeling as a problem-solving paradigm. This approach has been called Computational cybernetics, because (a) the term 'computational' is associated with conventional computer programming techniques which represent a strategic, compiled, or feedforward model of the problem, and (b) the term 'cybernetic' is associated with conventional system operation techniques which represent a tactical, interpreted, or feedback model of the problem. Of course, real programs and real problems both contain both feedforward and feedback components. A real example which illustrates this point is that of human cognition, which clearly involves both perceptual ('bottom-up', feedback, sensor-oriented) and conceptual ('top-down', feedforward, motor-oriented) information flows and hierarchies."
"http://dbpedia.org/resource/MANIC_(Cognitive_Architecture)"	"MANIC (Cognitive Architecture)"	"Artificial intelligence"	"MANIC, formerly known as PMML.1, is a cognitive architecture developed by the predictive modeling and machine learning laboratory at University Of Arkansas. It differs from other cognitive architectures in that it tries to ""minimize novelty"". That is, it attempts to organize well-established techniques in computer science, rather than propose any new methods for achieving cognition. While most other cognitive architectures are inspired by some neurological observation, and are subsequently developed in a top-down manner to behave in some manner like a brain, MANIC is inspired only by common practices in computer science, and was developed in a bottom-up manner for the purpose of unifying various methods in machine learning and artificial intelligence."
"http://dbpedia.org/resource/List_of_programming_languages_for_artificial_intelligence"	"List of programming languages for artificial intelligence"	"Artificial intelligence"	"Artificial intelligence researchers have developed several specialized programming languages for artificial intelligence:"
"http://dbpedia.org/resource/Cognitive_computer"	"Cognitive computer"	"Artificial intelligence"	"A cognitive computer combines artificial intelligence and machine-learning algorithms, in an approach which attempts to reproduce the behaviour of the human brain. An example is provided by the IBM company's Watson machine. A subsequent development by IBM is the TrueNorth microchip architecture, which is designed to be closer in structure to the human brain that the von Neumann architecture used in conventional computers. The IBM cognitive computers implement learning using Hebbian theory. Instead of being programmable in a traditional sense within machine language or a higher level programming language such a device learns by inputting instances through an input device that are aggregated within a computational convolution or neural network architecture consisting of weights within a parallel memory system. An early instantiation of such a device has been developed in 2012 under the Darpa SyNAPSE program at IBM directed by Dharmendra Modha."
"http://dbpedia.org/resource/Kuwahara_filter"	"Kuwahara filter"	"Artificial intelligence"	"Suppose that is a grey scale image and that we take a square window of size centered around a point in the image. This square can be divided into four smaller square regions each of which will be where is the cartesian product. It must be noted that pixels located on the borders between two regions belong to both regions so there is a slight overlap between subregions. The arithmetic mean and standard deviation of the four regions centered around a pixel (x,y) are calculated and used to determine the value of the central pixel. The output of the kuwahara filter for any point is then given by This means that the central pixel will take the mean value of the area that is most homogenous. The location of the pixel in relation to an edge plays a great role in determining which region will have the greater standard deviation. If for example the pixel is located on a dark side of an edge it will most probably take the mean value of the dark region. On the other hand, should the pixel be on the lighter side of an edge it will most probably take a light value. On the event that the pixel is located on the edge it will take the value of the more smooth, least textured region. The fact that the filter takes into account the homogeneity of the regions ensures that it will preserve the edges while using the mean creates the blurring effect. Similarly to the Median filter the Kuwahara filter uses a sliding window approach to access every pixel in the image. The size of the window is chosen in advance and may vary depending on the desired level of blur in the final image. Bigger windows typically result in the creation of more abstract images whereas small windows produce images that retain their detail. Typically windows are chose to be square with sides that have an odd number of pixels for symmetry. However, there are variations of the Kuwahara filter that use rectangular windows. Additionally, the subregions do not need to overlap or have the same size as long as they cover all of the window."
"http://dbpedia.org/resource/Puckstering"	"Puckstering"	"Artificial intelligence"	"Puckstering is a term used in gaming that refers to an operator controlling a group of AI entities. For example, a gamer playing the role of an army platoon sergeant could control a platoon of soldiers. He could command them to attack an enemy, which they would do autonomously. This is referred to as ""puckstering."""
"http://dbpedia.org/resource/Cloud_robotics"	"Cloud robotics"	"Artificial intelligence"	"Cloud robotics is a field of robotics that attempts to invoke cloud technologies such as cloud computing, cloud storage, and other Internet technologies centred on the benefits of converged infrastructure and shared services for robotics. When connected to the cloud, robots can benefit from the powerful computational, storage, and communications resources of modern data centre in the cloud, which can process and share information from various robots or agent (other machines, smart objects, humans, etc.). Humans can also delegate tasks to robots remotely through networks. Cloud computing technologies enable robot systems to be endowed with powerful capability whilst reducing costs through cloud technologies. Thus, it is possible to build lightweight, low cost, smarter robots have intelligent ""brain"" in the cloud. The ""brain"" consists of data center, knowledge base, task planners, deep learning, information processing, environment models, communication support etc."
"http://dbpedia.org/resource/Any-angle_path_planning"	"Any-angle path planning"	"Artificial intelligence"	"Any-angle path planning algorithms search for paths on a cell decomposition of a continuous configuration space (such as a two-dimensional terrain)."
"http://dbpedia.org/resource/Artificial_intelligence,_situated_approach"	"Artificial intelligence, situated approach"	"Artificial intelligence"	"In artificial intelligence research, the situated approach builds agents that are designed to behave effectively successfully in their environment. This requires designing AI ""from the bottom-up"" by focussing on the basic perceptual and motor skills required to survive. The situated approach gives a much lower priority to abstract reasoning or problem-solving skills. The approach was originally proposed as an alternative to traditional approaches (that is, approaches popular before 1985 or so).After several decades, classical AI technologies started to face intractable issues (e.g. combinatorial explosion) when confronted with real-world modeling problems. All approaches to address these issues focus on modeling intelligences situated in an environment. They have become known as the situated approach to AI."
"http://dbpedia.org/resource/Artificial_intuition"	"Artificial intuition"	"Artificial intelligence"	"Artificial intuition is the capacity of an artificial object or software to function with the factor of consciousness known as intuition, or a machine-based system that has some capacity to function analogous to human intuition."
"http://dbpedia.org/resource/Automated_personal_assistant"	"Automated personal assistant"	"Artificial intelligence"	"An automated personal assistant or an Intelligent Personal Assistant is a mobile software agent that can perform tasks, or services, on behalf of an individual based on a combination of user input, location awareness, and the ability to access information from a variety of online sources (such as weather conditions, traffic congestion, news, stock prices, user schedules, retail prices, etc.). There are two types of automated personal assistants: intelligent automated assistants (for example, Apple’s Siri and Tronton’s Cluzee), which perform concierge-type tasks (e.g., making dinner reservations, purchasing event tickets, making travel arrangements) or provide information based on voice input or commands; and smart personal agents, which automatically perform management or data-handling tasks based on online information and events often without user initiation or interaction. According to Chi-Hua Chien of Kleiner Perkins Caufield & Byers, examples of tasks that may be performed by a smart personal agent-type of automated personal assistant include schedule management (e.g., sending an alert to a dinner date that a user is running late due to traffic conditions, update schedules for both parties, and change the restaurant reservation time) and personal health management (e.g., monitoring caloric intake, heart rate and exercise regimen, then making recommendations for healthy choices). Both types of automated personal assistant technology are enabled by the combination of mobile computing devices, application programming interfaces (APIs), and the proliferation of mobile apps. However, intelligent automated assistants are designed to perform specific, one-off tasks specified by user voice instructions, while smart personal agents perform ongoing tasks (e.g., schedule management) autonomously."
"http://dbpedia.org/resource/Type-1_OWA_operators"	"Type-1 OWA operators"	"Artificial intelligence"	"The Yager's OWA (ordered weighted averaging) operators are used to aggregate the crisp values in decision making schemes (such as multi-criteria decision making, multi-expert decision making and multi-criteria/multi-expert decision making). It is widely accepted that Fuzzy sets are more suitable for representing preferences of criteria in decision making. The type-1 OWA operators have been proposed for this purpose. The type-1 OWA operators provides a technique for directly aggregating uncertain information with uncertain weights via OWA mechanism in soft decision making and data mining, where these uncertain objects are modelled by fuzzy sets. The two definitions for type-1 OWA operators are based on Zadeh's Extension Principle and -cuts of fuzzy sets. The two definitions lead to equivalent results."
"http://dbpedia.org/resource/Artificial_intelligence_and_law"	"Artificial intelligence and law"	"Artificial intelligence"	"Artificial intelligence and law (AI and law) is a subfield of artificial intelligence (AI) mainly concerned with applications of AI to legal informatics problems and original research on those problems. It is also concerned to contribute in the other direction: to export tools and techniques developed in the context of legal problems to AI in general. For example, theories of legal decision making, especially models of argumentation, have contributed to knowledge representation and reasoning; models of social organization based on norms have contributed to multi-agent systems; reasoning with legal cases has contributed to case-based reasoning; and the need to store and retrieve large amounts of textual data has resulted in contributions to conceptual information retrieval and intelligent databases."
"http://dbpedia.org/resource/Attributional_calculus"	"Attributional calculus"	"Artificial intelligence"	"Attributional calculus is a logic and representation system defined by Ryszard S. Michalski. It combines elements of predicate logic, propositional calculus, and multi-valued logic. Attributional calculus provides a formal language for natural induction, an inductive learning process whose results are in forms natural to people."
"http://dbpedia.org/resource/Agent_systems_reference_model"	"Agent systems reference model"	"Artificial intelligence"	"The agent systems reference model (ASRM) is a layered, abstract description for multiagent systems. As such, the reference model 
*  provides a taxonomy of terms, concepts and definitions to compare agent systems; 
*  identifies functional elements that are common in agent systems; 
*  captures data flow and dependencies among the functional elements in agent systems; and 
*  specifies assumptions and requirements regarding the dependencies among these elements. The ASRM differentiates itself from technical standards, such as Knowledge Interchange Format, Knowledge Query and Manipulation Language, and those of the Foundation for Intelligent Physical Agents in that it defines the required existence of components of a multiagent system; standards prescribe how they are designed."
"http://dbpedia.org/resource/Intelligent_decision_support_system"	"Intelligent decision support system"	"Artificial intelligence"	"An intelligent decision support system (IDSS) is a decision support system that makes extensive use of artificial intelligence (AI) techniques. Use of AI techniques in management information systems has a long history, indeed terms such as Knowledge-based systems (KBS) and intelligent systems have been used since the early 1980s to describe components of management systems, but the term ""Intelligent decision support system"" is thought to originate with Clyde Holsapple and Andrew Whinston in the late 1970s. Examples of specialized intelligent decision support systems include Flexible manufacturing systems (FMS), intelligent marketing decision support systems and medical diagnosis systems. Ideally, an intelligent decision support system should behave like a human consultant: supporting decision makers by gathering and analysing evidence, identifying and diagnosing problems, proposing possible courses of action and evaluating the proposed actions. The aim of the AI techniques embedded in an intelligent decision support system is to enable these tasks to be performed by a computer, while emulating human capabilities as closely as possible. Many IDSS implementations are based on expert systems, a well established type of KBS that encode knowledge and emulate the cognitive behaviours of human experts using predicate logic rules, and have been shown to perform better than the original human experts in some circumstances. Expert systems emerged as practical applications in the 1980s  based on research in artificial intelligence performed during the late 1960s and early 1970s. They typically combine knowledge of a particular application domain with an inference capability to enable the system to propose decisions or diagnoses. Accuracy and consistency can be comparable to (or even exceed) that of human experts when the decision parameters are well known (e.g. if a common disease is being diagnosed), but performance can be poor when novel or uncertain circumstances arise. Some research in AI, focused on enabling systems to respond to novelty and uncertainty in more flexible ways is starting to be used in intelligent decision support systems. For example, intelligent agents that perform complex cognitive tasks without any need for human intervention have been used in a range of decision support applications. Capabilities of these intelligent agents include knowledge sharing, machine learning, data mining, and automated inference. A range of AI techniques such as case based reasoning, rough sets and fuzzy logic have also been used to enable decision support systems to perform better in uncertain conditions."
"http://dbpedia.org/resource/Music_and_artificial_intelligence"	"Music and artificial intelligence"	"Artificial intelligence"	"Research in artificial intelligence (AI) is known to have impacted medical diagnosis, stock trading, robot control, and several other fields. Perhaps less popular is the contribution of AI in the field of music. Nevertheless, artificial intelligence and music (AIM) has, for a long time, been a common subject in several conferences and workshops, including the International Computer Music Conference, the Computing Society Conference  and the International Joint Conference on Artificial Intelligence. In fact, the first International Computer Music Conference was the ICMC 1974, Michigan State University, East Lansing, USA Current research includes the application of AI in music composition, performance, theory and digital sound processing. Several music software applications have been developed that use AI to produce music. A few examples are included below. Note that there are many that are still being developed."
"http://dbpedia.org/resource/Gödel_machine"	"Gödel machine"	"Artificial intelligence"	"A Gödel machine is a self-improving computer program that solves problems in an optimal way. It uses a recursive self-improvement protocol in which it rewrites its own code when it can prove the new code provides a more optimal strategy. The machine was invented by Jürgen Schmidhuber (first proposed in 2003), but is named after Kurt Gödel who inspired the mathematical theories. The Gödel machine is often discussed when dealing with issues of meta-learning, also known as ""learning to learn."" Applications include automating human design decisions and transfer of knowledge between multiple related tasks, and may lead to design of more robust and general learning architectures. Though theoretically possible, no full implementation has existed before. The Gödel machine is often compared with Marcus Hutter's AIXI, another formal specification for an artificial general intelligence. Schmidhuber points out that the Gödel machine could start out by implementing AIXI as its initial sub-program, and self-modify after it finds proof that another algorithm for its search code will be more optimal."
"http://dbpedia.org/resource/Legal_expert_system"	"Legal expert system"	"Artificial intelligence"	"A legal expert system is a domain-specific expert system that uses artificial intelligence to emulate the decision-making abilities of a human expert in the field of law. Legal expert systems employ a rule base or knowledge base and an inference engine to accumulate, reference and produce expert knowledge on specific subjects within the legal domain."
"http://dbpedia.org/resource/Trenchard_More"	"Trenchard More"	"Artificial intelligence"	"Trenchard More is a professor at Dartmouth College. He participated in the 1956 Dartmouth Summer Research Project on Artificial Intelligence. At the 50th year meeting of the Dartmouth Conference with Marvin Minsky, Geoffrey Hinton and Simon Osindero he presented The Future of Network Models and also gave a lecture entitled Routes to the Summit. Designed a theory for nested rectangular array that provided a formal structure used in the development of the  Nested Interactive Array Language."
"http://dbpedia.org/resource/Catastrophic_interference"	"Catastrophic interference"	"Artificial intelligence"	"Catastrophic interference, also known as catastrophic forgetting, is the tendency of an artificial neural network to completely and abruptly forget previously learned information upon learning new information. Neural networks are an important part of the network approach and connectionist approach to cognitive science. These networks use computer simulations to try and model human behaviours, such as memory and learning. Catastrophic interference is an important issue to consider when creating connectionist models of memory. It was originally brought to the attention of the scientific community by research from McCloskey and Cohen (1989), and Ractcliff (1990). It is a radical manifestation of the ‘sensitivity-stability’ dilemma  or the ‘stability-plasticity’ dilemma. Specifically, these problems refer to the issue of being able to make an artificial neural network that is sensitive to, but not disrupted by, new information. Lookup tables and connectionist networks lie on the opposite sides of the stability plasticity spectrum. The former remains completely stable in the presence of new information but lacks the ability to generalize, i.e. infer general principles, from new inputs. On the other hand, connectionist networks like the standard backpropagation network are very sensitive to new information and can generalize on new inputs. Backpropagation models can be considered good models of human memory insofar as they mirror the human ability to generalize but these networks often exhibit less stability than human memory. Notably, these backpropagation networks are susceptible to catastrophic interference. This is considered an issue when attempting to model human memory because, unlike these networks, humans typically do not show catastrophic forgetting. Thus, the issue of catastrophic interference must be eradicated from these backpropagation models in order to enhance the plausibility as models of human memory."
"http://dbpedia.org/resource/AI_box"	"AI box"	"Artificial intelligence"	"An AI box is a hypothetical isolated computer hardware system where a possibly dangerous artificial intelligence, or AI, is kept constrained in a ""virtual prison"" and not allowed to manipulate events in the external world. Such a box would be restricted to minimalist communication channels. Unfortunately, even if the box is well-designed, a sufficiently intelligent AI may nevertheless be able to persuade or trick its human keepers into releasing it, or otherwise be able to ""hack"" its way out of the box."
"http://dbpedia.org/resource/Deepdreaming"	"Deepdreaming"	"Artificial intelligence"	"Deep dreaming refers to the generation of images that desired activations in a trained deep network.For example, given a network that is trained to recognize cats (among other things), a dreamed cat image can be synthesized by performing a Gradient descent optimization adjusting a random image such that when it is fed forward through the trained network, it produces the ""this is a cat"" output.The optimization resembles Backpropagation, however instead of adjusting the network weights,the weights are held fixed and the input is adjusted. Alternately, an existing image can be altered so that it is more cat-like,and the resulting enhanced image can be again input to the procedure.This usage resembles the childhood activity of looking for animals or other patterns in clouds. The dreaming idea and name became popular on the internet in 2015 thanks to Google's DeepDream program. The idea dates from early in the history of neural networks , and was explored more recently (but prior to Google's work) by several research groups. Applying gradient descent independently to each pixel of the input produces images in whichadjacent pixels have little relation and thus the image has too much high frequency information.The generated images can be greatly improved by including a prior or regularizer that prefers inputsthat have natural image statistics (without a preference for any particular image), or are simply smooth.For example, used the total variation regularizer that prefers images that are piecewise constant. Various regularizers are discussed further in. The dreaming idea can be applied to hidden (internal) neurons other than those in the output, which allows exploration of the roles and representations of various parts of the network.It is also possible to optimize the input to satisfy either a single neuron (this usage is sometimes called Activity Maximization) or an entire layer of neurons. While dreaming is most often used for visualizing networks or producing computer art, it has recently been proposed that adding ""dreamed"" inputs to the training set can improve training times."
"http://dbpedia.org/resource/Language_Acquisition_Device_(computer)"	"Language Acquisition Device (computer)"	"Artificial intelligence"	"The Language Acquisition Device is a computer program developed by Lobal Technologies, a computer company in the United Kingdom, and scientists from King's College. It emulates the functions of the brain's frontal lobes where humans process language and emotion. Scientists hope this might enable computers to understand, speak, learn, and eventually think. One possible use is in interactive entertainment such as video gaming, where the technology is used to help computer-controlled characters to develop. A press release describing this technology produced widespread media interest in 2002, but no reports have been published since then, and the current status of the technology is unclear."
"http://dbpedia.org/resource/Evolving_intelligent_system"	"Evolving intelligent system"	"Artificial intelligence"	"The term Evolving Intelligent Systems (EIS) was coined in 2005 by Angelov and Kasabov, to define the new approach which focuses on learning, developing soft computing models that have both their parameters but also their structure adapting on-line. The first papers in this direction can be traced back to the end of 20th century, but these were closer to evolutionary algorithms. Later, in the very beginning of the 21st century both Angelov and Kasabov came independently to evolving rule-based, and evolving connectionist systems  concepts respectively. This was followed later by a large number of research works by various authors, etc. who meet annually at IEEE sponsored conferences on this topic. EIS are usually associated with, streaming data and on-line (often real-time) modes of operation. They can be seen as adaptive intelligent systems with low-computational complexity. EIS assumes on-line adaptation of system structure in addition to the parameter adaptation which is usually associated with the term ""incremental"" from Incremental heuristic search. Due to the implementation of a wide variety of adaptive, evolving and dynamic methodologies, they represent an important cornerstone within the field of data-driven learning in non-stationary environments An important sub-area of EIS is represented by Evolving Fuzzy Systems (EFS) (a comprehensive survey including real-world applications can be found in ), which rely on fuzzy systems architecture and incrementally update, evolve and prune fuzzy sets and fuzzy rules on demand and on-the-fly.One of the major strengths of EFS, compared to other forms of evolving system models, is that they are able to support some sort of interpretability and understandability for experts and users. This opens possibilities for enriched human-machine interaction's scenarios, where the users may ""communicate"" with an on-line evolving system in form of knowledge exchange (active learning (machine learning) and teaching). This concept is currently motivated and discussed in the evolving systems community under the term Human-Inspired Evolving Machines and respected as ""one future"" generation of ""EIS""."
"http://dbpedia.org/resource/Medical_intelligence_and_language_engineering_lab"	"Medical intelligence and language engineering lab"	"Artificial intelligence"	"The Medical Intelligence and Language Engineering laboratory, also known as MILE lab, is a research laboratory at the Indian Institute of Science, Bangalore under the Department of Electrical Engineering. The lab is known for its work on Image processing, online handwriting recognition, Text-To-Speech and Optical character recognition systems, all of which are focused mainly on documents and speech in Indian languages. The lab is headed by A. G. Ramakrishnan."
"http://dbpedia.org/resource/Open_Letter_on_Artificial_Intelligence"	"Open Letter on Artificial Intelligence"	"Artificial intelligence"	"In January 2015, Stephen Hawking, Elon Musk, and dozens of artificial intelligence experts signed an open letter on artificial intelligence calling for research on the societal impacts of AI. The letter affirmed that society can reap great potential benefits from artificial intelligence, but called for concrete research on how to prevent certain potential ""pitfalls"": artificial intelligence has the potential to eradicate disease and poverty, but researchers must not create something which cannot be controlled. The four-paragraph letter, titled Research Priorities for Robust and Beneficial Artificial Intelligence: an Open Letter, lays out detailed research priorities in an accompanying twelve-page document."
"http://dbpedia.org/resource/Oriented_Energy_Filters"	"Oriented Energy Filters"	"Artificial intelligence"	"Oriented energy filters are used to grant sight to intelligent machines and sensors. The light comes in and is filtered so that it can be properly computed and analyzed by the computer allowing it to “perceive” what it is measuring. These energy measurements are then calculated to take a real time measurement of the oriented space time structure. 3D Gaussian filters are used to extract orientation measurements. They were chosen due to their ability to capture a broad spectrum and easy and efficient computations. The use of these vision systems can then be used in smart room, human interface and surveillance applications. The computations used can tell more than the standalone frame that most perceived motion devices such as a television frame. The objects captured by these devices would tell the velocity and energy of an object and its direction in relation to space and time. This also allows for better tracking ability and recognition."
"http://dbpedia.org/resource/Knowledge-based_recommender_system"	"Knowledge-based recommender system"	"Artificial intelligence"	"Knowledge-based recommender systems (knowledge based recommenders)  are a specific type of recommender system that are based on explicit knowledge about the item assortment, user preferences, and recommendation criteria (i.e., which item should be recommended in which context?). These systems are applied in scenarios where alternative approaches such as Collaborative filtering and Content-based filtering cannot be applied. A major strength of knowledge-based recommender systems is the non-existence of cold-start (ramp-up) problems. A corresponding drawback are potential knowledge acquisition bottlenecks triggered by the need of defining recommendation knowledge in an explicit fashion."
"http://dbpedia.org/resource/Manifold_alignment"	"Manifold alignment"	"Artificial intelligence"	"Manifold alignment is a class of machine learning algorithms that produce projections between sets of data, given that the original data sets lie on a common manifold. The concept was first introduced as such by Ham, Lee, and Saul in 2003, adding a manifold constraint to the general problem of correlating sets of high-dimensional vectors."
"http://dbpedia.org/resource/Color_moments"	"Color moments"	"Artificial intelligence"	"Color moments are measures that characterise color distribution in an image in the same way that central moments uniquely describe a probability distribution. Color moments are mainly used for color indexing purposes as features in image retrieval applications in order to compare how similar two images are based on color. Usually one image is compared to a database of digital images with pre-computed features in order to find and retrieve a similar image. Each comparison between images results in a similarity score, and the lower this score is the more identical the two images are supposed to be."
"http://dbpedia.org/resource/BabyX"	"BabyX"	"Artificial intelligence"	"BabyX is a project of Auckland's Bioengineering Institute Laboratory for Animate Technologies, for the creation of a virtual animated baby that learns and reacts like a human baby. It uses the computer's cameras for ""seeing"" and microphones to ""listen"" as the inputs. The computer uses Artificial intelligence algorithms for BabyX's ""learning"" and interpretation of the inputs (voice and image) to understand the situation. The result is a virtual toddler that can learn to read, recognize objects and ""understand."" The output is the baby's face that can ""speak"" and express its mood by facial expressions (such as smile and show embarrassment)."
"http://dbpedia.org/resource/Knowledge_Based_Software_Assistant"	"Knowledge Based Software Assistant"	"Artificial intelligence"	"The Knowledge Based Software Assistant (KBSA) was a research program funded by the United States Air Force. The goal of the program was to apply concepts from artificial intelligence to the problem of designing and implementing computer software. Software would be described by models in very high level languages (essentially equivalent to first order logic) and then transformation rules would transform the specification into efficient code. The air force hoped to be able to generate the software to control weapons systems and other command and control systems using this method. As software was becoming ever more critical to USAF weapons systems it was realized that improving the quality and productivity of the software development process could have significant benefits for the military, as well as for information technology in other major US industries."
"http://dbpedia.org/resource/Reasoning_system"	"Reasoning system"	"Artificial intelligence"	"In information technology a reasoning system is a software system that generates conclusions from available knowledge using logical techniques such as deduction and induction. Reasoning systems play an important role in the implementation of artificial intelligence and knowledge-based systems. By the everyday usage definition of the phrase, all computer systems are reasoning systems in that they all automate some type of logic or decision. In typical use in the Information Technology field however, the phrase is usually reserved for systems that perform more complex kinds of reasoning. For example, not for systems that do fairly straightforward types of reasoning such as calculating a sales tax or customer discount but making logical inferences about a medical diagnosis or mathematical theorem. Reasoning systems come in two modes: interactive and batch processing. Interactive systems interface with the user to ask clarifying questions or otherwise allow the user to guide the reasoning process. Batch systems take in all the available information at once and generate the best answer possible without user feedback or guidance. Reasoning systems have a wide field of application that includes scheduling, business rule processing, problem solving, complex event processing, intrusion detection, predictive analytics, robotics, computer vision, and natural language processing."
